Day,Airline,Flight,Plane,Reason of accident
16 January 2017,Turkish Airlines,6491,Boeing 747-400F,Crash on landing
8 March 2017,Ameristar Charters,9363,McDonell Douglas MD-83,Runway overrun
20 March 2017,South Supreme Airlines,0,Antonov An-26,Crash on landing
28 March 2017,Peruvian Airlines,112,Boeing 737-300,Landing gear collapsed
29 April 2017,Aerogaviota,0,Antonov An-26,Crash
27-may-17,Summit Air Flight,409,Let L-410,Crash
7 July 2017,Air Canada,759,Airbus A320,Near-miss
14 October 2017,Valan International,0,Antonov An-26,Crash into the sea
15 November 2017,Khabarovsk Airlines,463,Let L-410,Crash on landing
13 December 2017,West Wind Aviation,282,ATR 42-300,Crash landing after takeoff
31 December 2017,Nature Air,9916,Cessna 208 Caravan,Crash landing after takeoff
13 January 2018,Pegasus Airlines,8622,Boeing 737-800,Runway overrun
11 February 2018,Saratov Airlines,703,Antonov An-148,Crash landing after takeoff
13 February 2018,United,1175,Boeing 777-200,Engine Failure
18 February 2018,Iran Aseman Airlines,3704,ATR 72-200,Crash
11 March 2018,Private,0,Bombardier Challenger 604,Crash
12 March 2018,US Bangla Airlines,211,Bombardier Q400,Crash on landing
17 April 2018,Southwest,1380,Boeing 737-700,Engine Failure
14-may-18,Sichuan Airlines,8633,Airbus A319-100,Near-miss
18-may-18,Cubana de Aviacion,972,Boeing 737-200,Crash landing after takeoff
31 July 2018,Aeromexico,2431,Embraer ERJ-190AR,Runway overrun
4 August 2018,Ju-Air,0,Junkers Ju 52,Crash
10 August 2018,Horizon Air,0,Bombardier Dash 8 Q400,"Aircraft stolen, crashed"
16 August 2018,Xiamen Airlines,8667,Boeing 737-800,Crash on landing
1 September 2018,Utair,579,Boeing 737-800,Crash on landing
28 September 2018,Air Niugini,73,Boeing 737-800,Crash on landing
11 October 2018,Air India,611,Boeing 737-800,Tail strike
29 October 2018,Lion Air,610,Boeing 737 MAX 8,Crash
9 November 2018,Fly Jamaica Airways,256,Boeing 757-200,Crash
11 November 2018,Air Astana,1388,Embraer ERJ-190,Control issues
14 January 2019,Saha Airlines,0,Boeing 707,Overshooting the runway
23 February 2019,Atlas Air,3591,Boeing 767,Crash
24 February 2019,Biman Bangladesh Airlines,147,Boeing 737-800,Hijack
4 March 2019,United Express,4933,Embraer EMB145XR,Bad landing
9 March 2019,Laser Aereo,0,Douglas DC-3,Crash
10 March 2019,Ethiopian Airlines,302,Boeing 737 MAX 8,Crash
3-may-19,Miami Air International,293,Boeing 737-81Q,Runway overshot
5-may-19,Aeroflot,1492,Sukhoi Superjet 100,Electrical Failure
8-may-19,Biman Bangladesh Airlines,60,Bombardier Q400,Runway overshot
15 August 2019,Ural Airlines,178,Airbus A321,Double bird strike
4 October 2019,Ukraine Air Alliance,4050,Antonov An-12,Crash on approach
17 October 2019,PenAir,3296,Saab 2000,Runway overshot
27 December 2019,Bek Air,2100,Fokker 100,Crash on takeoff
8 January 2020,Ukraine International Airlines,752,Boeing 737-800,Impacted by missiles
14 January 2020,Delta,89,Boeing 777-200,Compressor stall
27 January 2020,Caspian Airlines,6936,McDonell Douglas MD-83,Runway overshot
5 February 2020,Pegasus Airlines,2193,Boeing 737-800,Skid-off runway
4-may-20,East African Express Airways,0,Embaer EMB 120 Brasilia,Fired by ground forces
22-may-20,Pakistan International Airlines,8303,Airbus A320,Crash
7 August 2020,Air India Express,1344,Boeing 737-800,Crash on landing
22 August 2020,South West Aviation,0,Antonov An-26,Crash
13 November 2020,Volga-Dnepr Airlines,4066,Antonov An-124,Engine failure
9 January 2021,Sriwijaya Air,182,Boeing 737-500,Crash
20 February 2021,Longtail Aviation,5504,Boeing 747-400BCF,Engine failure
20 February 2021,United,328,Boeing 777-200,Engine failure
2 March 2021,South Sudan Supreme Airlines,0,Let L-410 Turbolet,Crash
12-may-21,Key Lime Air,970,Swearingen Metroliner,Collision
23-may-21,Ryanair,4978,Boeing 737-800,Forced landing
2 July 2021,Transair,810,Boeing 737-200C,Engine failure
6 July 2021,Petropavlovsk-Kamchatsky,251,Antonov An-26,Crash on approach
16 July 2021,Siberian Light Aviation,42,Antonov An-28,Crash landing after takeoff
12 September 2021,Siberian Light Aviation,51,Let L-410,Crash landing after takeoff
19 October 2021,Private,0,McDonell Douglas MD-87,Crash on takeoff
3 November 2021,Grodno Aviakompania,1252,Antonov An-12,Crash
